"species";"b1";"b2";"d0";"d1";"d2";"K";"Q";"Volume"
"sp1";0.377339704026889;0.0543140076510914;0.373387484940753;2.44079670981463e-05;0.34183043484185;9.41209534382202;2.85571499964304e-06;4000
"sp2";0.27729072423596;0.0565718397345971;0.29136770524718;1.8430481770594e-06;0.420765547253289;6.97002409250685;1.42785749982152e-06;180
"sp3";0.207594593868804;0.0674407060575006;0.324222076415974;1.67130767450853e-05;0.300664298776654;55.5992739512271;3.21267937459842e-07;65
"sp4";0.380782865416026;0.0512453698348009;0.509645414790314;0.000995993128650464;0.217435733231794;1.3394820702893;1.42785749982152e-06;125
"sp5";0.268827605412896;0.0710613939744293;0.263660886749976;3.39424528970195e-09;0.644555323712034;8.3626457935128;1.42785749982152e-06;100
"sp6";0.243921274735172;0.0755863692154035;0.390750937497219;0.000715510588068652;0.226241434341965;17.7888647769455;3.56964374955379e-09;20
"sp7";0.496065862109606;0.0501389485556502;0.517211459591591;1.2743208591561e-05;0.365617369762029;7.55246943396127;2.76748351329883e-06;3876.41415707767
"sp8";0.402722439000485;0.05151574160507;0.463310150582016;4.91740581338217e-06;0.393358396588892;4.83169729266988;1.4659198757814e-06;184.79825730063
"sp9";0.232521745430818;0.0652816384048177;0.269982014248793;9.87918799892088e-06;0.313926307700948;46.5822443000927;3.3999732603764e-07;68.7893923283555
"sp10";0.318492721552279;0.0558706995481608;0.358979919357312;7.08168284925947e-05;0.299603340889074;3.22485550619764;1.50927463346261e-06;132.127561193192
"sp11";0.235341385501958;0.0740494446068277;0.259787572984681;1.16178382315233e-08;0.603503771343496;8.09530835985764;1.45173333321963e-06;101.672143992037
"sp12";0.140914112222554;0.0883070615624812;0.300054213753304;2.46148698385746e-05;0.33310624528051;15.5888998822581;3.30859802277287e-09;18.5374130019918
"sp13";0.508924252515504;0.0502405780710451;0.516127485834575;1.38804093171606e-05;0.363863687897363;6.94440341439282;3.10091636827605e-06;4343.45355704427
"sp14";0.424478137337379;0.0516495316239107;0.480475663246034;1.70370992220423e-05;0.354783452999895;4.05830341161553;1.30499613993208e-06;164.511728388257
"sp15";0.247449716382963;0.0638403243800484;0.227053122173899;5.71260889066423e-06;0.327462274664116;38.4459669882388;3.34785248155505e-07;67.7348673576489
"sp16";0.398584791542614;0.0523481609388066;0.458850919520954;0.000326044386187882;0.254600632220583;1.97639446255785;1.29698237679894e-06;113.542700948892
