"species";"b1";"b2";"d0";"d1";"d2";"K";"Q"
"sp1";0.324913606654583;0.0523275346936717;0.344849358309074;5.7429964562547e-07;0.443349920241528;0.720278152657267;1.7848218747769e-07
"sp2";0.18542627423778;0.0609916114585843;0.194918289669228;1.09672844184857e-08;0.570939814623043;0.402445437290298;8.92410937388449e-08
"sp3";0.101020635115252;0.0871337537204505;0.154962751667542;2.02670273424526e-05;0.299856110017703;3.49876920030546;2.00792460912401e-08
"sp4";0.189530034324039;0.0625568240037485;0.212459848575987;1.23093791850108e-05;0.334440010407233;0.436290778777196;8.92410937388449e-08
"sp5";0.209040165534131;0.0731645366231615;0.23474261494082;6.18375793701543e-10;0.692777718306071;0.929293026905498;8.92410937388449e-08
"sp6";0.201923081852934;0.0772746184600987;0.211282487470365;0.000875308662583755;0.213023334235264;3.31560918549812;2.23102734347112e-10
"sp7";0.34795688265202;0.0523336625464566;0.34795688265202;1.11873137293398e-06;0.425144556745209;0.726056297362505;1.72967719581177e-07
"sp8";0.189380181927456;0.0594208128694236;0.189380181927456;1.76398984597545e-08;0.55723615468541;0.428164699603207;9.16199922363373e-08
"sp9";0.0745369785664739;0.0980456683708817;0.157260665011255;1.27857855879752e-05;0.314692935785499;2.91611205623633;2.12498328773525e-08
"sp10";0.22721522435163;0.0597666815915344;0.22721522435163;1.86289361115231e-05;0.323469430259006;0.48251406270677;9.43296645914131e-08
"sp11";0.182943734123821;0.0759463551558295;0.185289085577348;5.70158940944695e-09;0.618276679369963;1.01909755333043;9.07333333262267e-08
"sp12";0.124612688736629;0.0885495906134964;0.159605733323777;0.000991106833276698;0.211091666090618;2.89820216363654;2.06787376423304e-10
"sp13";0.348991943604889;0.0534264971810406;0.348991943604889;2.96468678048959e-06;0.398170087286542;0.576276235086512;1.93807273017253e-07
"sp14";0.177607953968588;0.0583263819637129;0.177607953968588;2.32755038272101e-08;0.549561233837224;0.468542463557512;8.15622587457548e-08
"sp15";0.0959038817957247;0.090560234272814;0.134071037070003;4.19754266805982e-06;0.340884999463937;3.18639000344909;2.0924078009719e-08
"sp16";0.236072828619444;0.0594267654494602;0.236072828619444;1.67618072344266e-05;0.326651661148066;0.480179658679706;8.10613985499337e-08
"sp17";0.171308481162648;0.0773021794510827;0.194873046025762;2.87497962630727e-09;0.640851045097555;1.00864636325409;9.76555053092964e-08
"sp18";0.142456661027682;0.0849047979078513;0.1933906857429;0.000730455731143608;0.217989634598454;2.8336347035015;2.02154840918319e-10
"sp19";0.347463939047215;0.0525081197272029;0.347463939047215;3.54245031223266e-06;0.393196844426803;0.58685668037192;1.71458823718075e-07
"sp20";0.178044284586582;0.0573890523067456;0.178044284586582;3.73230123508097e-08;0.535646997845944;0.473265153620297;8.89940710435174e-08
"sp21";0.0296296468962504;0.12256684054302;0.0380419986747385;2.75595827385498e-05;0.298520454090736;3.22853501084909;2.11101457963994e-08
"sp22";0.18152046224665;0.0620833606533968;0.207114267704763;1.35926386938136e-05;0.330922293267944;0.485144933849639;8.94980976662779e-08
"sp23";0.16130749634319;0.0786661506756478;0.209045433820803;4.16292273059568e-09;0.628369104174545;1.02624217181411;9.75452082496869e-08
"sp24";0.172720376385851;0.0794492116953911;0.187924711628122;0.000525116551287501;0.225124510348173;2.98950370224806;2.28733667769404e-10
"sp25";0.320874999587292;0.0529184489609931;0.356127035628894;7.88123775104544e-07;0.43447755762273;0.687541129938411;1.76090243682193e-07
"sp26";0.176792095137381;0.0614463856942521;0.198148797959601;1.02905436376365e-08;0.572609269425161;0.380143427306965;9.24416381094525e-08
"sp27";0.0303083271324979;0.121520235921941;0.0647405998801763;4.66131971830253e-05;0.285007819805702;3.52998726044301;2.1490424158379e-08
"sp28";0.171594442518368;0.062321389656664;0.225100245077057;9.95968481408987e-06;0.339088128252233;0.553690749124165;9.79569863973561e-08
"sp29";0.143718179801553;0.0811496389686434;0.220949584577964;1.91153551992894e-09;0.654005146050286;0.988133759686501;8.67782214213916e-08
"sp30";0.170055827294332;0.0808573619275794;0.170700762362251;0.000529445190979136;0.225700248443529;2.94139773375131;2.15838515309047e-10
"sp31";0.326255719945893;0.0579703473719401;0.344015256251501;8.47365188471927e-05;0.302012519463529;0.669166868649869;1.82511404828498e-07
"sp32";0.190450628931885;0.0648526984763303;0.193383789108422;8.58045927135134e-06;0.373180896376083;0.396323536252122;8.66689278008518e-08
"sp33";0.0932781382535786;0.0967079851167792;0.0974380066137788;0.00014438527413145;0.267177828066909;3.45667047611359;1.98257737041901e-08
"sp34";0.199184757366443;0.0632139551818705;0.199504969184228;2.39467236395119e-05;0.326836202913319;0.447069411511167;8.22204877183261e-08
"sp35";0.216970043291281;0.074484904485433;0.221221734469137;6.22390249567882e-09;0.637636284137144;0.953390936503476;9.41949558280823e-08
"sp36";0.243769813722192;0.0796380413002285;0.262766323602475;0.000968250396493183;0.226409696270508;3.71651707245908;2.29386873084649e-10
"sp37";0.337624955682684;0.0566450889927476;0.337624955682684;8.33844587626448e-05;0.303039471818671;0.701616790570035;1.67451737421113e-07
"sp38";0.187577909646264;0.0626649022175241;0.187577909646264;9.97529775101307e-06;0.369346377746527;0.428717102264036;8.12370324892465e-08
"sp39";0.0904127294995295;0.0978766858790966;0.161718763231061;1.5637070651897e-05;0.325699624386966;2.91561141407632;2.17301740195544e-08
"sp40";0.231753772078856;0.0616602933130712;0.231753772078856;2.49035164641955e-05;0.326664060397434;0.508746079697278;9.40868909888426e-08
"sp41";0.209648782896755;0.0744912319348619;0.226008252642276;5.11368745660213e-09;0.643772912804161;0.855534677413965;9.74165220198894e-08
"sp42";0.154563210955114;0.0884978131089547;0.194512081420277;0.0011046827064707;0.221944183221503;2.83402651484777;2.08898274991911e-10
"sp43";0.341920680475806;0.0569875819389765;0.341920680475806;0.000124196395453651;0.292948780685122;0.581756550384014;1.78351497519707e-07
"sp44";0.179203883955343;0.0615052086793805;0.179203883955343;1.21615173239976e-05;0.36425860293693;0.457656979417005;8.80605053234274e-08
"sp45";0.10533891373738;0.0937889130076965;0.13356024317049;8.8389475453796e-06;0.340179820655501;3.10717224245603;1.93484335780023e-08
"sp46";0.223624068775015;0.0610354504334628;0.223624068775015;2.04730767797209e-05;0.331533879758408;0.976573172283558;8.05108319663329e-08
"sp47";0.185638517773074;0.0772145550697634;0.189408592748631;7.0288591690168e-09;0.632228243427833;1.03494988443617;9.32910537700657e-08
"sp48";0.148363032017469;0.0912625752016038;0.191340655026116;0.00086452308130369;0.229747838630849;3.02037874464023;2.11557824398557e-10
"sp49";0.338622285524103;0.0564846065401687;0.338622285524103;0.000133283945539244;0.291330653921989;0.592693245413692;1.87781274742169e-07
"sp50";0.174391963484161;0.0606629243886107;0.174391963484161;1.27192228778471e-05;0.363438230034767;0.486535941934117;8.44609487670539e-08
"sp51";0.0349270183882463;0.125623590793349;0.0435183547404308;3.84467476388885e-05;0.306305716629387;3.29961293526413;1.89076393427202e-08
"sp52";0.18568201728966;0.0639040843300286;0.206025279655561;1.74665472825467e-05;0.335459731878824;0.493871979565503;8.28152172234658e-08
"sp53";0.180125389486382;0.0774880208009529;0.208108655405959;5.36599356642848e-09;0.64112930853964;1.03710715645454;9.24158853564103e-08
"sp54";0.18217263455619;0.0851835520029623;0.191885552574286;0.000798110022194677;0.230723444586087;2.94513308093171;2.27967339291475e-10
"sp55";0.31853669877652;0.057788623573736;0.346307945346221;7.42364444793046e-05;0.305477438079148;0.667528172173711;1.8853134450349e-07
"sp56";0.179259089374095;0.0657134886213018;0.193577645248848;8.15535646355017e-06;0.374433527552579;0.380893975669502;8.21500712093555e-08
"sp57";0.0239110814843736;0.140033850573999;0.0482785489939942;6.81560448237135e-05;0.295520676734955;3.86804308049402;1.91328854140855e-08
"sp58";0.175662371430542;0.0643289283878606;0.22287911813229;1.76332388021658e-05;0.334766235513787;0.55050712873533;9.08020543121506e-08
"sp59";0.160187700611551;0.0801532252367385;0.219118901873234;4.32672244953897e-09;0.648314166488637;0.999562519339788;9.68109737771718e-08
"sp60";0.186980251375436;0.0851595886640388;0.201328784547222;0.000607450041138727;0.238319002819172;2.91714498570284;2.30878535902139e-10
"sp61";0.309487157363237;0.0520127704588925;0.359289201447297;3.74905892684895e-09;0.589233882886029;0.747337270821515;1.94253771621174e-07
"sp62";0.161933510386875;0.0625917644510229;0.197614279088828;3.2084263233362e-12;0.814861551329335;0.395906912689577;8.7200864625093e-08
"sp63";0.0551707931256277;0.104212339209997;0.0751351246770476;0.000124908878864741;0.252996730015895;3.35149731922759;1.88090972139524e-08
"sp64";0.157169484060588;0.0618186584501865;0.157169484060588;3.89125103830505e-06;0.354309209120248;0.888890965380598;9.51269292380673e-08
"sp65";0.185012035223636;0.073022773963174;0.189855970845673;3.17757513973549e-09;0.607201017988663;1.15883640436844;9.74906495529415e-08
"sp66";0.184710830849152;0.08608465246012;0.238061025989963;0.000840589584170035;0.225640077390394;3.38871090602756;2.20818990753692e-10
"sp67";0.334789235886847;0.0519731971125923;0.349214126694562;6.16322239806636e-09;0.575302218533624;0.769703393830081;1.683774229825e-07
"sp68";0.190840446881101;0.0605241816018697;0.192125305873301;6.0284582873085e-12;0.796234940922768;0.4257732109245;8.20286351640649e-08
"sp69";0.0544309750611819;0.104263299543592;0.144720211934821;1.20887335565849e-05;0.309396880795024;2.86919283958665;2.02671445739954e-08
"sp70";0.189256902448945;0.0598154064629663;0.189256902448945;4.82136420242397e-06;0.349388545128847;0.915215115349659;8.89416581137845e-08
"sp71";0.177699320085126;0.0738211370282506;0.233145461090844;1.14253338579594e-08;0.56734005943652;0.785235155298395;8.09449152298234e-08
"sp72";0.113322629579573;0.0955082873217708;0.157062054992888;0.000982624638733362;0.220537732764967;2.76238781838646;2.15618253792566e-10
"sp73";0.340026798676947;0.0517830692709158;0.340026798676947;1.16214700561961e-08;0.557237580095787;0.782964980463814;1.73143753120009e-07
"sp74";0.183705715104928;0.0587888541734698;0.183705715104928;7.26177358824564e-12;0.791126395488957;0.466781428763806;8.41899990287518e-08
"sp75";0.0744222082425413;0.0950686951616224;0.127705881325564;7.2034444494333e-06;0.320000436435403;2.79294031357895;1.81179860287314e-08
"sp76";0.214990877944225;0.0594401845903246;0.214990877944225;5.64262546307451e-06;0.346255106132696;0.446402462165159;8.87701324127511e-08
"sp77";0.156631600633981;0.0763869626774586;0.195836342988283;4.66549923445897e-09;0.595010160171578;0.972559749577259;8.68587013064553e-08
"sp78";0.11581060576767;0.0956194925671548;0.146736529120269;0.000902789001653183;0.22314248773269;2.78506819994007;2.07561355736629e-10
"sp79";0.348912826624577;0.0529273672556777;0.348912826624577;5.30669597174976e-08;0.513884227982402;0.600182961566187;1.69800741466294e-07
"sp80";0.180979618166612;0.0580514862811611;0.180979618166612;9.85039995732502e-12;0.782316856373904;0.490842057540035;8.75937379617384e-08
"sp81";0.0209559316048117;0.129509732797017;0.035873087772834;3.72689481185741e-05;0.285267254060844;2.9196843500334;2.11586170793878e-08
"sp82";0.144897968569616;0.0629204853504052;0.144897968569616;3.62985233105718e-06;0.355933275036529;0.931772535401759;8.95227636685358e-08
"sp83";0.134171301757292;0.0799522392129268;0.144998100555763;2.25303003664921e-09;0.617327563327873;1.41569737351131;8.4914370571131e-08
"sp84";0.142755659550282;0.0899589197637692;0.199162894336385;0.00038055830718835;0.244580942207479;2.91749809879983;2.16546779505074e-10
"sp85";0.300573568084896;0.0520213435412409;0.359745879184922;2.76177006514903e-09;0.597994118066065;0.744714989649571;1.89936316308232e-07
"sp86";0.154415161010174;0.0628955066369471;0.200118135124917;2.05181644801618e-12;0.828196417035227;0.376365459666854;9.32986226027651e-08
"sp87";0.0172891793943294;0.135512678290232;0.0504649001509807;4.71374556057075e-05;0.280909190204463;3.2103940526082;1.94498997693642e-08
"sp88";0.155147496522822;0.0625468871492771;0.232988116914983;3.70279497672557e-06;0.355848757206219;0.488329341336363;9.05909421947139e-08
"sp89";0.130715743771868;0.0802096360228794;0.221579652612673;1.42828228747371e-09;0.632028330038601;0.974170253896899;8.25949469261763e-08
"sp90";0.147064041316278;0.0896209054401176;0.181313804223174;0.000415972280398614;0.24250204634845;2.82411254387859;2.18680971350463e-10
